Reference, Value, Footprint, Datasheet, Cost QTY: 1, Cost QTY: 1000, Cost QTY: 10000, Cost QTY: 2500, Cost QTY: 5000, Date Created, Date Modified, Description, Designer, Height, Lead-Free ?, MFR, MFR#, Management_ID, Mounting, Package, Pin Count #, RoHS Levels, Status, Tolerance, Type, Vendor, Vendor #, Voltage, _Value_
"H6","M4_PTH","growbox-KiCAD-Holes-PEMS-Standoffs:M4_HOLE","","*","*","*","*","*","3/26/2020","3/26/2020","*","AVR","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","M4 Plated Hole"
"H5","M4_PTH","growbox-KiCAD-Holes-PEMS-Standoffs:M4_HOLE","","*","*","*","*","*","3/26/2020","3/26/2020","*","AVR","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","M4 Plated Hole"
"H4","M4_PTH","growbox-KiCAD-Holes-PEMS-Standoffs:M4_HOLE","","*","*","*","*","*","3/26/2020","3/26/2020","*","AVR","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","M4 Plated Hole"
"H3","M4_PTH","growbox-KiCAD-Holes-PEMS-Standoffs:M4_HOLE","","*","*","*","*","*","3/26/2020","3/26/2020","*","AVR","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","M4 Plated Hole"
"H2","M4_PTH","growbox-KiCAD-Holes-PEMS-Standoffs:M4_HOLE","","*","*","*","*","*","3/26/2020","3/26/2020","*","AVR","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","M4 Plated Hole"
"H1","M4_PTH","growbox-KiCAD-Holes-PEMS-Standoffs:M4_HOLE","","*","*","*","*","*","3/26/2020","3/26/2020","*","AVR","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","M4 Plated Hole"
"D13","BAT20JFILM","growbox-KiCAD-Diodes:BAT20JFILM","https://www.st.com/content/ccc/resource/technical/document/datasheet/group1/81/a4/1f/0e/ca/8c/47/ba/CD00012201/files/CD00012201.pdf/jcr:content/translations/en.CD00012201.pdf","0.32000","0.06120","0.04920","*","0.05688","3/1/2020","3/1/2020","Diode Schottky 23V 1A Surface Mount SOD-323","AVR","1.13mm","Yes","STMicroelectronics","BAT20JFILM","*","SMT","SOD-323","2","1","Active","*","Schottky Diode","Digikey","497-3381-2-ND","23V","BAT20J"
"C6","UWT1H470MCL1GS","growbox-KiCAD-Capacitors:UWT1H470MCL1GS","https://www.nichicon.co.jp/english/products/pdfs/e-uux.pdf","0.50","0.12174","0.09739","0.11566","0.10348","3/9/2020","3/9/2020","47µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD  1000 Hrs @ 105°C","AVR","10.5mm","Yes","Nichicon","UWT1H470MCL1GS","*","SMT","*","2","1","Active","20%","Aluminum Electrolytic Cap","Digikey","493-2225-1-ND","63V","47uF"
"C7","UWT1H470MCL1GS","growbox-KiCAD-Capacitors:UWT1H470MCL1GS","https://www.nichicon.co.jp/english/products/pdfs/e-uux.pdf","0.50","0.12174","0.09739","0.11566","0.10348","3/9/2020","3/9/2020","47µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD  1000 Hrs @ 105°C","AVR","10.5mm","Yes","Nichicon","UWT1H470MCL1GS","*","SMT","*","2","1","Active","20%","Aluminum Electrolytic Cap","Digikey","493-2225-1-ND","63V","47uF"
"C5","UWT1H470MCL1GS","growbox-KiCAD-Capacitors:UWT1H470MCL1GS","https://www.nichicon.co.jp/english/products/pdfs/e-uux.pdf","0.50","0.12174","0.09739","0.11566","0.10348","3/9/2020","3/9/2020","47µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD  1000 Hrs @ 105°C","AVR","10.5mm","Yes","Nichicon","UWT1H470MCL1GS","*","SMT","*","2","1","Active","20%","Aluminum Electrolytic Cap","Digikey","493-2225-1-ND","63V","47uF"
"C1","UUX1J101MNL1GS","growbox-KiCAD-Capacitors:UUX1J101MNL1GS","https://www.nichicon.co.jp/english/products/pdfs/e-uux.pdf","0.63000","0.19803","*","0.18638","0.17474","3/9/2020","3/9/2020","100µF 63V Aluminum Electrolytic Capacitors Radial, Can - SMD  2000 Hrs @ 105°C","AVR","10.5mm","Yes","Nichicon","UUX1J101MNL1GS","*","SMT","*","2","1","Active","20%","Aluminum Electrolytic Cap","Digikey","493-7453-2-ND","63V","100uF"
